ID, Question, Correct
1,"İdmançının fiziki işgörmə qabiliyyəti hansı enerji növündən asılıdır?","kimyəvi"
2,"Zülalların tərkibində olan aminturşuları neçə qrupa bölünür?","2"
3,"Əzələlərdə kreatinfosfatın parcalanması zamanı hansı zülali maddə yaranır?","kreatin"
4,"Hansı zülali maddə biirləşdirici toxumaların əsasını təşkil edir?","kollagen"
5,"Hemoqlobin qanın hansı formal elementlərinin tərkib hissəsidir?","ertrositlərin"
6,"Maksimal aerob şiddətin ən yüksək göstəricisinə hansı idman növü ilə məşğul olan idmançılarda rast gəlinir?","1,3"
7,"Alaktat anaerob şiddətin ən yüksək göstəricisinə hansı idman növü ilə məşğul olan idmançılarda rast gəlinir?","2,3"
8,"Əzələ lifin xarici membranı nə adlanır?","sarkolema"
9,"DNT molekulası hüceyrənin hansı orqanoidində yerləşir?","nüvədə" or "nüvəsində"
10,"Lipidlərin zülallarla birləşməsi necə adlanır?","lipoproteid" or "lipoproteidlər"
11,"Fiziki iş zamanı venoz qanda hansı maddələrin miqdarı çoxalır?","2,3"
12,"Zəhərli maddə sayılan ammonyak hansı orqanda zərərsizləşdirilir?","qaraciyərdə"
13,"Qaraciyərdə hansı üzvi maddələrin biosintezi prosesi baş verir?","1,2,3"
14,"Hüceyrədə oksigenin miqdarı aşağı olduqda ATF-in resintezi hansı mexanizmlə həyata keçir?","qlikoliz"
15,"Skelet əzələlərinin mitoxondrilərində resintez olunan ATF-in neçə faizi oksigenlə əlaqəlidir?","90%"
16,"Əzələ işi zamanı qanın pH-ı hansı qiymətə qədər enə bilər?","6,4" or "6,4-ə" or "6.4" or "6.4-ə"
17,"Fiziki işin təsiri altında miokard və qaraciyərdə hansı hormonun miqdarı artır?","adrenalin"
18,"Əzələ işinin energetik mübadiləsində əsas hansı üzvi birləşmə iştirak edir?","karbohidratlar"
19,"Karbohidratların zülallarla kimyəvi birləşməsi necə adlanır?","qlikoproteidlər"
20,"İdmançılarda sərf olunmuş enerji ehtiyatı hansı üzvi birləşmələrin hesabına kompensasiya edilir?","1,2,3"
21,"Qidanın tərkibinə hansı maddələr daxildir?","1,2,3"
22,"Nişasta maddəsi karbohidratların hansı qrupuna aiddir?","polisaxarid" or "polisaxaridlər"
23,"Mioqlobin mürəkkəb zülalların hansı qrupuna aiddir?","xromoproteidlər"
24,"Uzunmüddətli işin icrası zamanı yorulmanın qarşısını ən çox hansı maddələr alır?","1,2"
25,"Əzələ işindən sonra hansı birləşmənin köməyi ilə hüceyrədə kimyəvi enerji bərpa olunur?","ATF" or "adenozintrifosfat"
26,"Kimyəvi qurluşuna görə zülal tərkibli hormonlar hansılardır?","1,2"
27,"100 qr yağların oksidləşməsi zamanı hansı miqdarda su ayrılır?","100 ml" or "100" or "100ml"
28,"Qısamüddətli fiziki işlər zamanı zülalların qana keçməsi prosesi","zəifləyir" or "zəif olur"
29,"Uzunmüddətli fiziki işlər zamanı zülalların hüceyrə membranından keçməsi prosesi","asanlaşır" or "aktiv olur"
30,"Əzələ fəaliyyəti zamanı baş beyində və qaraciyərdə hansı toksik maddə toplanır?","ammonyak"
31,"Gərgin əzələ işi zamanı enerji əsasən hansı kimyəvi reaksiya nəticəsində alınır?","aerob"
32,"Sinqa xəstəliyi hansı vitaminin çatışmazlığı zamanı baş verir?","C vitamini" or "C" or "c"
33,"Qlükoneogenezin əsas substrat maddəsi hansıdır?","aminturşular" or "aminturşusu"
34,"Qlükoneogenez prosesini hansı hormon aktivləşdirir?","kortizol"
35,"Qlükoneogenez prosesində hansı üzvi maddələrin sintezi baş verir?","1,2"
36,"Sidikdə qlükozanın mövcud olması hansı xəstəliyin olmasını göstərir?","diabet"
37,"Uzunmüddətli fiziki yüklər qanda qlükozanın miqdarına necə təsir edir?","azaldır" or "aşağı salır"
38,"Enerji təminatında iştirak edən ATF-in kimyəvi tərkibində nə qədər fosfat turşusu vardır?","3"
39,"ATF hüceyrələrin mitoxondrilərində hansı funksiyanı yerinə yetirir?","tənəffüs"
40,"Aclıq zamanı yağların hesabına orqanizm neçə gün işləyə bilər?","10"
41,"Qlikoliz prosesində əsasən hansı üzvi maddə istirak edir?","qlikogen"
42,"Gərgin fiziki iş zamanı əzələ toxumasında hansı kimyəvi proseslər baş verir?","1,2"
43,"Əzələ işi zamanı yağların parçalanmasını əsasən hansı hormon aktivləşdirir?","kortizol"
44,"ATF-in parçalanmasında hansı ferment iştirak edir?","miokinaza"
45,"Vitaminlər həllolunma qabiliyyətinə görə neçə qrupa bölünür?","2"
46,"Əzələnin intensiv yığılmaları zamanı ATF-lə yanaşı hansı energetik maddə də iştirak edir?","kreatinfosfat" or "KrF"
47,"Neytral yağlar hidroliz olunduqda hansı maddələrə parçalanır?","1,2,3"
48,"B1 vitaminin qaraciyərdə ATF-lə reaksiyası nəticəsində hansı kimyəvi maddə əmələ gəlir?","tiaminpirofosfat"
49,"İnsulin hormonu hansı vəzidə sintez olunur?","mədəaltı vəzi" or "mədəaltı" or "mədəaltı vəz"
50,"ATF-in neçə əsas resintez yolları var?","2"
